PRIMARY_DIAGNOSIS|SECONDARY_DIAGNOSIS|PRIMARY_DIAGNOSIS_DESC|PRIMARY_BLOCKS_OF_CATEGORIES|SECONDARY_DIAGNOSIS_DESC|SECONDARY_BLOCKS_OF_CATEGORIES|COUNT(DISTINCTCLAIMS_ID)
L24|B37|irritant contact dermatitis|dermatitis and eczema|candidiasis|mycoses|11
L30|B37|other dermatitis|dermatitis and eczema|candidiasis|mycoses|25
L30.9|B37|dermatitis|dermatitis and eczema|candidiasis|mycoses|7
L50|B37|urticaria/pruritus (gatal-gatal)|urticaria and erythema|candidiasis|mycoses|6
N30.9|B37|urinary tract infections |other diseases of urinary system|candidiasis|mycoses|7
N39.0|B37|urinary tract infection- site not specified|other diseases of urinary system|candidiasis|mycoses|6
N77.1|B37|vaginitis|inflammatory diseases of female pelvic organs|candidiasis|mycoses|9
R50.9|B37|fever|general symptoms and signs|candidiasis|mycoses|14
Z24.0|B37|need immunization againts poliomyelitis (immunisasi polio)|persons with potential health hazards related to communicable diseases|candidiasis|mycoses|19
Z30|B37|contraceptive management (kontrasepsi)|persons encountering health services in circumstances related to reproduction|candidiasis|mycoses|8
B35.6|B37.3|tinea cruris|mycoses|candidiasis of vulva and vagina (fluor albus)|mycoses|7
B37|B37.3|candidiasis|mycoses|candidiasis of vulva and vagina (fluor albus)|mycoses|10
D25|B37.3|leiomyoma of uterus/myoma uteri|benign neoplasms|candidiasis of vulva and vagina (fluor albus)|mycoses|11
E78.5|B37.3|hyperlipidaemia|metabolic disorders|candidiasis of vulva and vagina (fluor albus)|mycoses|7
J06|B37.3|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|candidiasis of vulva and vagina (fluor albus)|mycoses|18
K30|B37.3|dyspepsia|diseases of oesophagus, stomach and duodenum|candidiasis of vulva and vagina (fluor albus)|mycoses|13
L20|B37.3|atopic dermatitis|dermatitis and eczema|candidiasis of vulva and vagina (fluor albus)|mycoses|6
L23|B37.3|allergic contact dermatitis|dermatitis and eczema|candidiasis of vulva and vagina (fluor albus)|mycoses|7
L24|B37.3|irritant contact dermatitis|dermatitis and eczema|candidiasis of vulva and vagina (fluor albus)|mycoses|6
L30|B37.3|other dermatitis|dermatitis and eczema|candidiasis of vulva and vagina (fluor albus)|mycoses|15
N30|B37.3|cystitis|other diseases of urinary system|candidiasis of vulva and vagina (fluor albus)|mycoses|11
N30.9|B37.3|urinary tract infections |other diseases of urinary system|candidiasis of vulva and vagina (fluor albus)|mycoses|24
N39.0|B37.3|urinary tract infection- site not specified|other diseases of urinary system|candidiasis of vulva and vagina (fluor albus)|mycoses|37
N72|B37.3|inflammatory disease of cervix uteri|inflammatory diseases of female pelvic organs|candidiasis of vulva and vagina (fluor albus)|mycoses|22
N73.9|B37.3|female pelvic inflammatory disease|inflammatory diseases of female pelvic organs|candidiasis of vulva and vagina (fluor albus)|mycoses|6
N76.0|B37.3|acute vaginitis (infeksi akut vagina)|inflammatory diseases of female pelvic organs|candidiasis of vulva and vagina (fluor albus)|mycoses|8
N77.1|B37.3|vaginitis|inflammatory diseases of female pelvic organs|candidiasis of vulva and vagina (fluor albus)|mycoses|11
N83|B37.3|noninflammatory disorders of ovary, fallopian tube and broad ligament|noninflammatory disorders of female genital tract|candidiasis of vulva and vagina (fluor albus)|mycoses|12
N89.9|B37.3|non inflammatory disorders of vagina|noninflammatory disorders of female genital tract|candidiasis of vulva and vagina (fluor albus)|mycoses|15
N91.2|B37.3|amenorrhoea|noninflammatory disorders of female genital tract|candidiasis of vulva and vagina (fluor albus)|mycoses|8
N92.0|B37.3|excessive and frequent menstruation with regular cycle/menorrhagia|noninflammatory disorders of female genital tract|candidiasis of vulva and vagina (fluor albus)|mycoses|8
N94.6|B37.3|dysmenorrhoea|noninflammatory disorders of female genital tract|candidiasis of vulva and vagina (fluor albus)|mycoses|6
R10|B37.3|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|candidiasis of vulva and vagina (fluor albus)|mycoses|93
R10.0|B37.3|acute abdomen|symptoms and signs involving the digestive system and abdomen|candidiasis of vulva and vagina (fluor albus)|mycoses|46
Z30|B37.3|contraceptive management (kontrasepsi)|persons encountering health services in circumstances related to reproduction|candidiasis of vulva and vagina (fluor albus)|mycoses|67
Z30.5|B37.3|surveillance of (intrauterine) contraceptive device|persons encountering health services in circumstances related to reproduction|candidiasis of vulva and vagina (fluor albus)|mycoses|9
Z34|B37.3|supervision of normal pregnancy|persons encountering health services in circumstances related to reproduction|candidiasis of vulva and vagina (fluor albus)|mycoses|53
N18|Z49|chronic kidney disease|renal failure|care involving dialysis|persons encountering health services for specific procedures and health care|19
K03.6|K02.1|deposits (accretions) of teeth (karang gigi)|diseases of oral cavity, salivary glands and jaws|caries of dentis|diseases of oral cavity, salivary glands and jaws|33
K04.0|K02.1|pulpitis|diseases of oral cavity, salivary glands and jaws|caries of dentis|diseases of oral cavity, salivary glands and jaws|14
K04.1|K02.1|necrosis of pulp (pulpal ganggrene)|diseases of oral cavity, salivary glands and jaws|caries of dentis|diseases of oral cavity, salivary glands and jaws|35
K05|K02.1|gingivitis and periodontal disease|diseases of oral cavity, salivary glands and jaws|caries of dentis|diseases of oral cavity, salivary glands and jaws|7
K05.0|K02.1|acute gingivitis|diseases of oral cavity, salivary glands and jaws|caries of dentis|diseases of oral cavity, salivary glands and jaws|26
K05.1|K02.1|chronic gingivitis|diseases of oral cavity, salivary glands and jaws|caries of dentis|diseases of oral cavity, salivary glands and jaws|7
E78.5|G56.0|hyperlipidaemia|metabolic disorders|carpal tunnel syndrome|nerve, nerve root and plexus disorders|6
G51.0|G56.0|bells palsy|nerve, nerve root and plexus disorders|carpal tunnel syndrome|nerve, nerve root and plexus disorders|12
G54.2|G56.0|cervical root disorders, not elsewhere classified|nerve, nerve root and plexus disorders|carpal tunnel syndrome|nerve, nerve root and plexus disorders|9
J06|G56.0|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|carpal tunnel syndrome|nerve, nerve root and plexus disorders|9
M15.0|G56.0|primary generalised (osteo)arthrosis|arthropathies|carpal tunnel syndrome|nerve, nerve root and plexus disorders|10
M19|G56.0|other arthrosis|arthropathies|carpal tunnel syndrome|nerve, nerve root and plexus disorders|6
M51.2|G56.0|other specified intervertebral disc displacement|dorsopathies|carpal tunnel syndrome|nerve, nerve root and plexus disorders|8
M53.0|G56.0|cervicocranial syndrome|dorsopathies|carpal tunnel syndrome|nerve, nerve root and plexus disorders|9
M54.1|G56.0|radiculopathy|dorsopathies|carpal tunnel syndrome|nerve, nerve root and plexus disorders|7
M54.2|G56.0|cervicalgia|dorsopathies|carpal tunnel syndrome|nerve, nerve root and plexus disorders|26
M54.5|G56.0|low back pain (nyeri punggung)|dorsopathies|carpal tunnel syndrome|nerve, nerve root and plexus disorders|22
M65.3|G56.0|trigger finger (nodular tendinous disease)|soft tissue disorders|carpal tunnel syndrome|nerve, nerve root and plexus disorders|19
M65.4|G56.0|radial styloid tenosynovitis [de quervain]|soft tissue disorders|carpal tunnel syndrome|nerve, nerve root and plexus disorders|9
M79.1|G56.0|myalgia (nyeri otot|soft tissue disorders|carpal tunnel syndrome|nerve, nerve root and plexus disorders|19
S43.0|G56.0|dislocation of shoulder joint|injuries to the shoulder and upper arm|carpal tunnel syndrome|nerve, nerve root and plexus disorders|6
E11|L03|non-insulin-dependent diabetes mellitus|diabetes mellitus|cellulitis|infections of the skin and subcutaneous tissue|14
E13|L03|other specified diabetes mellitus|diabetes mellitus|cellulitis|infections of the skin and subcutaneous tissue|21
J02|L03|acute pharyngitis|acute upper respiratory infections|cellulitis|infections of the skin and subcutaneous tissue|9
J06|L03|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|cellulitis|infections of the skin and subcutaneous tissue|14
L02|L03|cutaneous abscess|infections of the skin and subcutaneous tissue|cellulitis|infections of the skin and subcutaneous tissue|15
L30|L03|other dermatitis|dermatitis and eczema|cellulitis|infections of the skin and subcutaneous tissue|10
R50.9|L03|fever|general symptoms and signs|cellulitis|infections of the skin and subcutaneous tissue|6
T14|L03|injury of unspecified body region|injuries to unspecified part of trunk, limb or body region|cellulitis|infections of the skin and subcutaneous tissue|6
I10|I63|essential (primary) hypertension|hypertensive diseases|cerebral infarction|cerebrovascular diseases|11
M54.5|G54.2|low back pain (nyeri punggung)|dorsopathies|cervical root disorders, not elsewhere classified|nerve, nerve root and plexus disorders|12
A88.1|M54.2|epidemic vertigo|viral infections of the central nervous system|cervicalgia|dorsopathies|7
E78.4|M54.2|other hyperlipidemia|metabolic disorders|cervicalgia|dorsopathies|8
E78.5|M54.2|hyperlipidaemia|metabolic disorders|cervicalgia|dorsopathies|15
G43|M54.2|migraine (nyeri kepala sebelah)|episodic and paroxysmal disorders|cervicalgia|dorsopathies|9
G44|M54.2|other headache syndromes (sindrom sakit kepala)|episodic and paroxysmal disorders|cervicalgia|dorsopathies|7
G44.2|M54.2|tension type headache|episodic and paroxysmal disorders|cervicalgia|dorsopathies|23
G56.0|M54.2|carpal tunnel syndrome|nerve, nerve root and plexus disorders|cervicalgia|dorsopathies|20
H82|M54.2|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|cervicalgia|dorsopathies|46
I10|M54.2|essential (primary) hypertension|hypertensive diseases|cervicalgia|dorsopathies|10
I15|M54.2|secondary hypertension|hypertensive diseases|cervicalgia|dorsopathies|11
J02|M54.2|acute pharyngitis|acute upper respiratory infections|cervicalgia|dorsopathies|6
J06|M54.2|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|cervicalgia|dorsopathies|10
K21.9|M54.2|gastro-oesophageal reflux disease without oesophagitis|diseases of oesophagus, stomach and duodenum|cervicalgia|dorsopathies|6
K30|M54.2|dyspepsia|diseases of oesophagus, stomach and duodenum|cervicalgia|dorsopathies|16
M13.9|M54.2|arthritis- unspecified|arthropathies|cervicalgia|dorsopathies|6
M15.0|M54.2|primary generalised (osteo)arthrosis|arthropathies|cervicalgia|dorsopathies|10
M51.2|M54.2|other specified intervertebral disc displacement|dorsopathies|cervicalgia|dorsopathies|23
M54.1|M54.2|radiculopathy|dorsopathies|cervicalgia|dorsopathies|16
M54.5|M54.2|low back pain (nyeri punggung)|dorsopathies|cervicalgia|dorsopathies|110
M62.6|M54.2|muscle strain|soft tissue disorders|cervicalgia|dorsopathies|11
M75.0|M54.2|adhesive capsulitis of shoulder|soft tissue disorders|cervicalgia|dorsopathies|7
M79.1|M54.2|myalgia (nyeri otot|soft tissue disorders|cervicalgia|dorsopathies|43
M79.19|M54.2|myalgia|soft tissue disorders|cervicalgia|dorsopathies|6
R25.2|M54.2|cramp and spasm|symptoms and signs involving the nervous and musculoskeletal systems|cervicalgia|dorsopathies|7
R51|M54.2|headache ( cephalgia)|general symptoms and signs|cervicalgia|dorsopathies|83
G56.0|M53.0|carpal tunnel syndrome|nerve, nerve root and plexus disorders|cervicocranial syndrome|dorsopathies|23
K30|M53.0|dyspepsia|diseases of oesophagus, stomach and duodenum|cervicocranial syndrome|dorsopathies|9
M54.5|M53.0|low back pain (nyeri punggung)|dorsopathies|cervicocranial syndrome|dorsopathies|13
R51|M53.0|headache ( cephalgia)|general symptoms and signs|cervicocranial syndrome|dorsopathies|19
A09|R07.4|diarrhoea and gastroenteritis of presumed infectious origin(ged)|intestinal infectious diseases|chest pain|symptoms and signs involving the circulatory and respiratory systems|12
E13|R07.4|other specified diabetes mellitus|diabetes mellitus|chest pain|symptoms and signs involving the circulatory and respiratory systems|9
E78.4|R07.4|other hyperlipidemia|metabolic disorders|chest pain|symptoms and signs involving the circulatory and respiratory systems|6
E78.5|R07.4|hyperlipidaemia|metabolic disorders|chest pain|symptoms and signs involving the circulatory and respiratory systems|24
I10|R07.4|essential (primary) hypertension|hypertensive diseases|chest pain|symptoms and signs involving the circulatory and respiratory systems|30
I11.9|R07.4|hypertensive heart disease without (congestive) heart failure|hypertensive diseases|chest pain|symptoms and signs involving the circulatory and respiratory systems|8
I15|R07.4|secondary hypertension|hypertensive diseases|chest pain|symptoms and signs involving the circulatory and respiratory systems|28
